timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-11-01 12:45:00+10:00,24421.517,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 12:50:00+10:00,11054.625,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 12:55:00+10:00,16606.739,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:00:00+10:00,79000.077,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:05:00+10:00,29220.417,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:10:00+10:00,-12272.789,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:15:00+10:00,2181.057,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:20:00+10:00,-14822.06,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:25:00+10:00,21778.578,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:30:00+10:00,-18235.949,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:35:00+10:00,1855.8976,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:40:00+10:00,36267.385,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:45:00+10:00,26443.066,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:50:00+10:00,55130.593,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 13:55:00+10:00,45553.646,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 14:00:00+10:00,44224.811,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
2025-11-01 14:05:00+10:00,32164.858,market_value,$,5m,NEM,2025-11-08 12:40:20.697552,fivemin_1week
