timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-10-09 13:00:00+10:00,764286.08,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 14:00:00+10:00,1110690.5,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 15:00:00+10:00,2069005.5,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 16:00:00+10:00,3311668.2,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 17:00:00+10:00,4014120.2,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 18:00:00+10:00,2963429.2,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 19:00:00+10:00,2264022.0,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 20:00:00+10:00,1858076.5,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 21:00:00+10:00,1532160.8,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 22:00:00+10:00,1282345.9,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-09 23:00:00+10:00,1070471.8,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 00:00:00+10:00,1070473.9,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 01:00:00+10:00,922252.18,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 02:00:00+10:00,802813.96,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 03:00:00+10:00,954899.35,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 04:00:00+10:00,882191.35,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 05:00:00+10:00,1125061.7,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 06:00:00+10:00,705017.78,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 07:00:00+10:00,-35219.548,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 08:00:00+10:00,-488960.87,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 09:00:00+10:00,-710308.44,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 10:00:00+10:00,-501604.92,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 11:00:00+10:00,-577006.27,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 12:00:00+10:00,532939.59,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 13:00:00+10:00,-522258.43,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 14:00:00+10:00,-591874.6,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 15:00:00+10:00,-1249975.6,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 16:00:00+10:00,380016.69,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 17:00:00+10:00,20895157.0,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 18:00:00+10:00,1364733.6,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 19:00:00+10:00,1708816.4,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 20:00:00+10:00,1731886.9,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 21:00:00+10:00,1303160.0,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 22:00:00+10:00,1274490.4,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-10 23:00:00+10:00,1099373.6,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 00:00:00+10:00,998219.84,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 01:00:00+10:00,717158.04,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 02:00:00+10:00,453035.82,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 03:00:00+10:00,526395.15,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 04:00:00+10:00,588488.52,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 05:00:00+10:00,829820.38,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 06:00:00+10:00,64276.944,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 07:00:00+10:00,-183098.25,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 08:00:00+10:00,-196740.24,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 09:00:00+10:00,-358420.55,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 10:00:00+10:00,-452654.09,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 11:00:00+10:00,-490812.38,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 12:00:00+10:00,-475362.7,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
2025-10-11 13:00:00+10:00,-382892.85,market_value,$,1h,NEM,2025-11-08 12:40:18.183478,hourly_1month
