timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-11-01 12:45:00+10:00,16159.353,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 12:50:00+10:00,16354.037,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 12:55:00+10:00,16716.324,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:00:00+10:00,16918.066,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:05:00+10:00,16889.25,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:10:00+10:00,16619.798,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:15:00+10:00,16604.009,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:20:00+10:00,16573.891,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:25:00+10:00,16391.538,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:30:00+10:00,16553.97,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:35:00+10:00,16546.208,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:40:00+10:00,16702.801,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:45:00+10:00,16790.561,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:50:00+10:00,16994.994,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 13:55:00+10:00,17048.627,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:00:00+10:00,17101.769,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:05:00+10:00,17230.614,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:10:00+10:00,17182.582,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:15:00+10:00,17597.633,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:20:00+10:00,17854.02,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:25:00+10:00,18149.771,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:30:00+10:00,18023.848,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:35:00+10:00,17828.893,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:40:00+10:00,17888.19,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:45:00+10:00,18074.867,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:50:00+10:00,18012.671,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 14:55:00+10:00,18093.066,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 15:00:00+10:00,18088.252,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 15:05:00+10:00,18187.358,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 15:10:00+10:00,17649.839,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 15:15:00+10:00,17953.371,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
2025-11-01 15:20:00+10:00,17763.909,power,MW,5m,NEM,2025-11-08 12:40:13.664392,fivemin_1week
