timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-10-09 13:00:00+10:00,361584.34,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 14:00:00+10:00,346656.51,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 15:00:00+10:00,336576.76,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 16:00:00+10:00,333920.27,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 17:00:00+10:00,330195.09,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 18:00:00+10:00,329738.24,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 19:00:00+10:00,319093.71,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 20:00:00+10:00,302237.92,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 21:00:00+10:00,284305.76,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 22:00:00+10:00,266958.77,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-09 23:00:00+10:00,256873.03,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 00:00:00+10:00,247901.48,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 01:00:00+10:00,237933.02,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 02:00:00+10:00,233127.92,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 03:00:00+10:00,232623.51,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 04:00:00+10:00,236287.13,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 05:00:00+10:00,254403.44,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 06:00:00+10:00,274129.6,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 07:00:00+10:00,297597.59,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 08:00:00+10:00,330109.56,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 09:00:00+10:00,359989.1,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 10:00:00+10:00,376885.88,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 11:00:00+10:00,378774.56,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 12:00:00+10:00,371865.0,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 13:00:00+10:00,368835.78,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 14:00:00+10:00,367324.84,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 15:00:00+10:00,367595.96,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 16:00:00+10:00,349693.14,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 17:00:00+10:00,332987.59,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 18:00:00+10:00,316913.77,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 19:00:00+10:00,302423.31,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 20:00:00+10:00,288852.35,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 21:00:00+10:00,275388.36,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 22:00:00+10:00,263629.08,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-10 23:00:00+10:00,254872.19,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 00:00:00+10:00,244929.38,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 01:00:00+10:00,235292.67,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 02:00:00+10:00,226682.78,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 03:00:00+10:00,222549.66,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 04:00:00+10:00,225689.79,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 05:00:00+10:00,236405.74,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 06:00:00+10:00,231173.19,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 07:00:00+10:00,228521.89,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
2025-10-11 08:00:00+10:00,215202.64,power,MW,1h,NEM,2025-11-08 12:40:11.311426,hourly_1month
