timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2023-11-01 00:00:00+10:00,202767820.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2023-12-01 00:00:00+10:00,219967420.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-01-01 00:00:00+10:00,226942230.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-02-01 00:00:00+10:00,218379270.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-03-01 00:00:00+10:00,219715460.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-04-01 00:00:00+10:00,201196540.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-05-01 00:00:00+10:00,218142970.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-06-01 00:00:00+10:00,226926460.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-07-01 00:00:00+10:00,239067820.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-08-01 00:00:00+10:00,222566750.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-09-01 00:00:00+10:00,206750100.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-10-01 00:00:00+10:00,208614470.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-11-01 00:00:00+10:00,213569100.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2024-12-01 00:00:00+10:00,231522480.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-01-01 00:00:00+10:00,231740880.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-02-01 00:00:00+10:00,214731670.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-03-01 00:00:00+10:00,227860540.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-04-01 00:00:00+10:00,203547540.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-05-01 00:00:00+10:00,218714490.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-06-01 00:00:00+10:00,234975380.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-07-01 00:00:00+10:00,244892050.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-08-01 00:00:00+10:00,237447820.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
2025-09-01 00:00:00+10:00,192000160.0,power,MW,1M,NEM,2025-11-08 12:40:08.367197,monthly_24months
